Study,rosi.n,rosi.mi,rosi.d,cont.n,cont.mi,cont.d
1,357,2,1,176,0,0
2,391,2,0,207,1,0
3,774,1,0,185,1,0
4,213,0,0,109,1,0
5,232,1,1,116,0,0
6,43,0,0,47,1,0
7,121,1,0,124,0,0
8,110,5,3,114,2,2
9,382,1,0,384,0,0
10,284,1,0,135,0,0
11,294,0,2,302,1,1
12,563,2,0,142,0,0
13,278,2,0,279,1,1
14,418,2,0,212,0,0
15,395,2,2,198,1,0
16,203,1,1,106,1,1
17,104,1,0,99,2,0
18,212,2,1,107,0,0
19,138,3,1,139,1,0
20,196,0,1,96,0,0
21,122,0,0,120,1,0
22,175,0,0,173,1,0
23,56,1,0,58,0,0
24,39,1,0,38,0,0
25,561,0,1,276,2,0
26,116,2,2,111,3,1
27,148,1,2,143,0,0
28,231,1,1,242,0,0
29,89,1,0,88,0,0
30,168,1,1,172,0,0
31,116,0,0,61,0,0
32,1172,1,1,377,0,0
33,706,0,1,325,0,0
34,204,1,0,185,2,1
35,288,1,1,280,0,0
36,254,1,0,272,0,0
37,314,1,0,154,0,0
38,162,0,0,160,0,0
39,442,1,1,112,0,0
40,394,1,1,124,0,0
41,2635,15,12,2634,9,10
42,1456,27,2,2895,41,5
43,101,0,0,51,0,0
44,232,0,0,115,0,0
45,70,0,0,75,0,0
46,25,0,0,24,0,0
47,196,0,0,195,0,0
48,676,0,0,225,0,0
